Using report1.sqlite for SQL queries.
Running [/nfs/c3po/software/spack/opt/spack/linux-ubuntu20.04-x86_64/gcc-9.3.0/cuda-11.6.0-bs5m5wvrn6c236edh2l3yr6bajgkhz72/nsight-systems-2021.5.2/target-linux-x64/reports/nvtxsum.py report1.sqlite]... 

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                         Range                                       
      0.1         78378775          1    78378775.0    78378775.0    78378775    78378775          0.0  PushPop  TSL:XlaBufferAssignment:#module=jit_wrapper,program_id=14#                        
      0.1         76729463          1    76729463.0    76729463.0    76729463    76729463          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__std,program_id=44#                             
      0.1         74309453         25     2972378.1     2775925.0     2746239     5164066     654805.7  PushPop  TSL:XlaPass:#name=dot-merger,module=jit_wrapper,program_id=42#                    
      0.1         73618163          1    73618163.0    73618163.0    73618163    73618163          0.0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_wrapper,program_id=42#                
      0.1         73069214          1    73069214.0    73069214.0    73069214    73069214          0.0  PushPop  TSL:XlaPassPipeline:#name=horizontal fusion,module=jit_wrapper,program_id=14#     
      0.1         72908519          1    72908519.0    72908519.0    72908519    72908519          0.0  PushPop  TSL:XlaPassPipeline:#name=horizontal fusion,module=jit_wrapper,program_id=42#     
      0.1         72839438          1    72839438.0    72839438.0    72839438    72839438          0.0  PushPop  TSL:XlaPass:#name=copy-insertion,module=jit_wrapper,program_id=14#                
      0.1         72495767         25     2899830.7     2705541.0     2678661     5066290     647122.2  PushPop  TSL:XlaPass:#name=dot-merger,module=jit_wrapper,program_id=14#                    
      0.1         71042167          1    71042167.0    71042167.0    71042167    71042167          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit_tree_bias_correction#                            
      0.1         67586725          1    67586725.0    67586725.0    67586725    67586725          0.0  PushPop  TSL:XlaPass:#name=gpu_horizontal_input_fusion,module=jit_wrapper,program_id=14#   
      0.1         67544064          1    67544064.0    67544064.0    67544064    67544064          0.0  PushPop  TSL:XlaPass:#name=gpu_horizontal_input_fusion,module=jit_wrapper,program_id=42#   
      0.1         65745861          1    65745861.0    65745861.0    65745861    65745861          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_true_divide,program_id=33#                      
      0.1         64349517          1    64349517.0    64349517.0    64349517    64349517          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__threefry_split,program_id=2#                   
      0.1         61660867          1    61660867.0    61660867.0    61660867    61660867          0.0  PushPop  TSL:XlaCompileGpuAsm:#module=jit__std#                                            
      0.1         60782434          1    60782434.0    60782434.0    60782434    60782434          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_true_divide,program_id=36#                      
      0.1         60231652          1    60231652.0    60231652.0    60231652    60231652          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_sqrt,program_id=35#                             
      0.1         59230356          1    59230356.0    59230356.0    59230356    59230356          0.0  PushPop  TSL:XlaCompile:#module=jit__mean#                                                 
      0.1         58608729          1    58608729.0    58608729.0    58608729    58608729          0.0  PushPop  TSL:XlaCompile:#module=jit__threefry_seed#                                        
      0.1         57164705          1    57164705.0    57164705.0    57164705    57164705          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_sqrt,program_id=38#                             
      0.1         57124320          1    57124320.0    57124320.0    57124320    57124320          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_sqrt,program_id=32#                             
      0.1         57108058          1    57108058.0    57108058.0    57108058    57108058          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__mean,program_id=45#                            
      0.1         56648859          1    56648859.0    56648859.0    56648859    56648859          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_true_divide,program_id=39#                      
      0.1         55355771          1    55355771.0    55355771.0    55355771    55355771          0.0  PushPop  TSL:XlaCompile:#module=jit__unstack#                                              
      0.1         54252573          1    54252573.0    54252573.0    54252573    54252573          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_multiply,program_id=22#                         
      0.1         53888354          3    17962784.7    11109331.0    10305329    32473694   12573244.3  PushPop  TSL:XlaPass:#name=cublas-gemm-rewriter,module=jit_wrapper,program_id=14#          
      0.1         53771272          1    53771272.0    53771272.0    53771272    53771272          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__unstack,program_id=3#                          
      0.1         53603794          1    53603794.0    53603794.0    53603794    53603794          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_broadcast_in_dim,program_id=9#                  
      0.1         53437971          1    53437971.0    53437971.0    53437971    53437971          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__threefry_seed,program_id=1#                    
      0.1         53417412          1    53417412.0    53417412.0    53417412    53417412          0.0  PushPop  TSL:XlaPassPipeline:#name=layout assignment,module=jit_wrapper,program_id=42#     
      0.1         53280723          1    53280723.0    53280723.0    53280723    53280723          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_add,program_id=37#                              
      0.1         52953734          1    52953734.0    52953734.0    52953734    52953734          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_integer_pow,program_id=25#                      
      0.1         52940549          1    52940549.0    52940549.0    52940549    52940549          0.0  PushPop  TSL:XlaMemoryScheduler:#module=jit_wrapper,program_id=42#                         
